inst name: dvi_encoder_m0/encb/N365_maj0_1/gateop, gop: gopLUT5, impl:devAL, loc(42, 305), worst slack: 11860
inst name: dvi_encoder_m0/encb/N368_maj0_1/gateop, gop: gopLUT5, impl:devCL, loc(42, 305), worst slack: 11859
inst name: dvi_encoder_m0/encb/N368_sum0_2/gateop, gop: gopLUT5, impl:devAL, loc(42, 300), worst slack: 10879
inst name: dvi_encoder_m0/encb/N374_ab0/gateop, gop: gopLUT5, impl:devCL, loc(42, 300), worst slack: 11503
inst name: dvi_encoder_m0/encb/N374_sum0/gateop, gop: gopLUT5, impl:devBL, loc(42, 300), worst slack: 10879
inst name: dvi_encoder_m0/encb/c0_q/opit_0, gop: gopQ, impl:devABQ, loc(94, 292), worst slack: 12459
inst name: dvi_encoder_m0/encb/c0_reg/opit_0, gop: gopQ, impl:devBQ, loc(90, 313), worst slack: 12195
inst name: dvi_encoder_m0/encb/c1_q/opit_0, gop: gopQ, impl:devBQ, loc(94, 292), worst slack: 9343
inst name: dvi_encoder_m0/encb/c1_reg/opit_0, gop: gopQ, impl:devAQ, loc(94, 292), worst slack: 12218
inst name: dvi_encoder_m0/encb/cnt[0]/opit_0_inv_L5Q, gop: gopL5Q, impl:devBLQ, loc(106, 304), worst slack: 8458
inst name: dvi_encoder_m0/encb/cnt[1]/opit_0_inv_L5Q, gop: gopL5Q, impl:devDLQ, loc(106, 304), worst slack: 8256
inst name: dvi_encoder_m0/encb/cnt[2]/opit_0_inv_L5Q, gop: gopL5Q, impl:devALQ, loc(106, 304), worst slack: 8143
inst name: dvi_encoder_m0/encb/cnt[3]/opit_0_inv_L5Q, gop: gopL5Q, impl:devCLQ, loc(106, 304), worst slack: 7962
inst name: dvi_encoder_m0/encb/cnt[4]/opit_0_inv_L5Q, gop: gopL5Q, impl:devDLQ, loc(102, 312), worst slack: 7725
inst name: dvi_encoder_m0/encb/de_q/opit_0, gop: gopQ, impl:devBQ, loc(46, 304), worst slack: 12674
inst name: dvi_encoder_m0/encb/de_reg/opit_0, gop: gopQ, impl:devDQ_S, loc(54, 305), worst slack: 8603
inst name: dvi_encoder_m0/encb/din_q[0]/opit_0, gop: gopQ, impl:devDQ, loc(42, 304), worst slack: 10063
inst name: dvi_encoder_m0/encb/din_q[1]/opit_0, gop: gopQ, impl:devAQ, loc(42, 305), worst slack: 9855
inst name: dvi_encoder_m0/encb/din_q[2]/opit_0, gop: gopQ, impl:devAQ_S, loc(54, 305), worst slack: 10024
inst name: dvi_encoder_m0/encb/din_q[3]/opit_0, gop: gopQ, impl:devCQ_S, loc(54, 305), worst slack: 10208
inst name: dvi_encoder_m0/encb/din_q[4]/opit_0, gop: gopQ, impl:devBQ, loc(42, 305), worst slack: 10005
inst name: dvi_encoder_m0/encb/din_q[5]/opit_0, gop: gopQ, impl:devDQ, loc(58, 304), worst slack: 10828
inst name: dvi_encoder_m0/encb/din_q[6]/opit_0, gop: gopQ, impl:devBQ, loc(86, 320), worst slack: 11188
inst name: dvi_encoder_m0/encb/din_q[7]/opit_0, gop: gopQ, impl:devBQ_S, loc(54, 305), worst slack: 11261
inst name: dvi_encoder_m0/encb/dout[0]/opit_0_inv_MUX4TO1Q, gop: gopMUX4TO1Q, impl:devAMUXQ, loc(102, 312), worst slack: 1479
inst name: dvi_encoder_m0/encb/dout[1]/opit_0_inv_MUX4TO1Q, gop: gopMUX4TO1Q, impl:devBMUXQ, loc(98, 325), worst slack: 1148
inst name: dvi_encoder_m0/encb/dout[2]/opit_0_inv_MUX4TO1Q, gop: gopMUX4TO1Q, impl:devBMUXQ, loc(102, 312), worst slack: 1511
inst name: dvi_encoder_m0/encb/dout[3]/opit_0_inv_MUX4TO1Q, gop: gopMUX4TO1Q, impl:devCMUXQ_S, loc(94, 313), worst slack: 1802
inst name: dvi_encoder_m0/encb/dout[4]/opit_0_inv_MUX4TO1Q, gop: gopMUX4TO1Q, impl:devBMUXQ_S, loc(94, 313), worst slack: 1655
inst name: dvi_encoder_m0/encb/dout[5]/opit_0_inv_MUX4TO1Q, gop: gopMUX4TO1Q, impl:devBMUXQ, loc(90, 304), worst slack: 1654
inst name: dvi_encoder_m0/encb/dout[6]/opit_0_inv_MUX4TO1Q, gop: gopMUX4TO1Q, impl:devDMUXQ_S, loc(94, 313), worst slack: 1663
inst name: dvi_encoder_m0/encb/dout[7]/opit_0_inv_MUX4TO1Q, gop: gopMUX4TO1Q, impl:devAMUXQ, loc(90, 304), worst slack: 1644
inst name: dvi_encoder_m0/encb/dout[8]/opit_0_inv_L5Q, gop: gopL5Q, impl:devCLQ, loc(102, 312), worst slack: 1754
inst name: dvi_encoder_m0/encb/dout[9]/opit_0_inv_MUX4TO1Q, gop: gopMUX4TO1Q, impl:devAMUXQ_S, loc(94, 313), worst slack: 1793
inst name: dvi_encoder_m0/encb/n0q_m[0]/opit_0_L5Q, gop: gopL5Q, impl:devDLQ_S, loc(86, 301), worst slack: 7917
inst name: dvi_encoder_m0/encb/n0q_m[1]/opit_0_L5Q, gop: gopL5Q, impl:devBLQ_S, loc(86, 301), worst slack: 7933
inst name: dvi_encoder_m0/encb/n0q_m[2]/opit_0_L5Q, gop: gopL5Q, impl:devALQ_S, loc(86, 301), worst slack: 7959
inst name: dvi_encoder_m0/encb/n0q_m[3]/opit_0_L5Q, gop: gopL5Q, impl:devCLQ_S, loc(86, 301), worst slack: 7874
inst name: dvi_encoder_m0/encb/n1d[0]/opit_0_L5Q, gop: gopL5Q, impl:devDLQ, loc(42, 305), worst slack: 10057
inst name: dvi_encoder_m0/encb/n1d[1]/opit_0_L5Q, gop: gopL5Q, impl:devCLQ, loc(42, 304), worst slack: 10069
inst name: dvi_encoder_m0/encb/n1d[2]/opit_0_L5Q, gop: gopL5Q, impl:devALQ, loc(42, 304), worst slack: 10256
inst name: dvi_encoder_m0/encb/n1d[3]/opit_0_L5Q, gop: gopL5Q, impl:devBLQ, loc(42, 304), worst slack: 10210
inst name: dvi_encoder_m0/encb/n1q_m[1]/opit_0_L5Q, gop: gopL5Q, impl:devCLQ, loc(94, 292), worst slack: 7985
inst name: dvi_encoder_m0/encb/n1q_m[2]/opit_0_L5Q, gop: gopL5Q, impl:devDLQ, loc(94, 292), worst slack: 8185
inst name: dvi_encoder_m0/encb/n1q_m[3]/opit_0_L5Q, gop: gopL5Q, impl:devDLQ, loc(86, 312), worst slack: 7725
inst name: dvi_encoder_m0/encb/q_m_reg[0]/opit_0, gop: gopQ, impl:devBQ_S, loc(94, 321), worst slack: 12060
inst name: dvi_encoder_m0/encb/q_m_reg[1]/opit_0_L5Q, gop: gopL5Q, impl:devALQ, loc(90, 313), worst slack: 11270
inst name: dvi_encoder_m0/encb/q_m_reg[2]/opit_0_L5Q, gop: gopL5Q, impl:devBLQ, loc(58, 304), worst slack: 12018
inst name: dvi_encoder_m0/encb/q_m_reg[3]/opit_0_L5Q, gop: gopL5Q, impl:devALQ, loc(58, 304), worst slack: 11800
inst name: dvi_encoder_m0/encb/q_m_reg[4]/opit_0_L5Q, gop: gopL5Q, impl:devCLQ, loc(58, 304), worst slack: 9855
inst name: dvi_encoder_m0/encb/q_m_reg[5]/opit_0_L5Q, gop: gopL5Q, impl:devBLQ, loc(86, 312), worst slack: 11304
inst name: dvi_encoder_m0/encb/q_m_reg[6]/opit_0_L5Q, gop: gopL5Q, impl:devALQ_S, loc(86, 313), worst slack: 9855
